topic,total_videos,total_comments,spam_comments,spam_ratio
게임,15,21473,10,0.0004657011130256601
교육,13,18413,4,0.00021723782110465433
기타,128,235350,57,0.00024219247928616952
뉴스/정치,1,945,0,0.0
스포츠,4,3527,0,0.0
엔터테인먼트,5,3460,0,0.0
음악,9,22329,1,4.4784808992789645e-05
자동차/교통,21,33745,12,0.00035560823825751966
